Kanji,Meaning,Radicals
坝,"embankment","土 (earth) + 贝 (shell)"
蚕,"silkworms","一 (one) + 大 (big) + 虫 (insect)"
敷,"spread","甫 (begin) + 方 (square) + 攵 (rap)"
澜,"overflowing","氵 (water) + 门 (gate) + 柬"
杏,"apricot","木 (tree) + 口 (mouth)"
绥,"soothe","纟 (silk) + 爫 (claw) + 女 (woman)"
冶,"smelt","冫 (ice) + 厶 (private) + 口 (mouth)"
庇,"cover","广 (dotted cliff) + 比 (compare)"
挠,"scratch","扌 (hand) + 丈 (unit of length equal 3.3 meters) + 一 (one) + 儿 (legs)"
搂,"hug","扌 (hand) + 米 (rice) + 女 (woman)"
倏,"hastily","亻 (man) + 丨 (line) + 攵 (rap) + 犬 (dog)"
聂,"whisper","耳 (ear) + 又 (again)"
婉,"amiable","女 (woman) + 宀 (roof) + 夕 (evening) + 㔾"
噪,"be noisy","口 (mouth) + 木 (tree)"
稼,"sow grain","禾 (grain) + 宀 (roof) + 豕 (pig)"
鳍,"fin","鱼 (fish) + 老 (old) + 日 (sun)"
菱,"water-chestnut","艹 (grass) + 土 (earth) + 儿 (legs) + 夂 (go)"
盏,"small cup or container","一 (one) + 戈 (halberd) + 皿 (dish)"
匿,"hide","匚 (open box) + 艹 (grass) + 丿 (slash) + 一 (one) + 口 (mouth)"
吱,"chirping","口 (mouth) + 支 (branch)"
寝,"sleep","宀 (roof) + 丬 (half tree trunk) + 彐 (pigs head) + 冖 (over) + 又 (again)"
揽,"grasp","扌 (hand) + 见 (see)"
髓,"bone marrow","骨 (bone) + 辶 (walk) + 生 (life) + 月 (moon)"
秉,"grasp","禾 (grain)"
哺,"chew food","口 (mouth) + 甫 (begin)"
矢,"arrow","矢 (arrow)"
啪,"syllable","口 (mouth) + 扌 (hand) + 白 (white)"
帜,"flag","巾 (turban) + 口 (mouth) + 八 (eight)"
邵,"surname","刀 (knife) + 口 (mouth) + 阝 (mound)"
嗽,"cough","口 (mouth) + 木 (tree) + 欠 (lack)"
挟,"clasp under arm","扌 (hand) + 一 (one) + 大 (big) + 丷 (eight)"
缸,"earthen jug","缶 (jar) + 工 (work)"
揉,"rub","扌 (hand) + 矛 (spear) + 木 (tree)"
腻,"greasy","月 (moon) + 弋 (shoot) + 二 (two) + 贝 (shell)"
驯,"tame","马 (horse) + 川 (river)"
缆,"hawser","纟 (silk) + 见 (see)"
晌,"noon","日 (sun) + 丶 (dot) + 冂 (down box) + 囗 (enclosure)"
瘫,"paralysis","疒 (sickness) + 又 (again) + 隹 (short tailed bird)"
贮,"store","贝 (shell) + 宀 (roof) + 一 (one)"
觅,"seek","爫 (claw) + 见 (see)"
朦,"condition or appearance of moon","月 (moon) + 艹 (grass) + 冂 (down box) + 二 (two) + 𧰨"
僻,"out-of-the-way","亻 (man) + 辛 (bitter)"
隋,"Sui dynasty","阝 (mound) + 生 (life) + 月 (moon)"
蔓,"creeping plants","艹 (grass) + 曰 (say) + 罒 (net) + 又 (again)"
咋,"question-forming particle","口 (mouth) + 乍 (first time)"
嵌,"inlay","山 (mountain) + 甘 (sweet) + 欠 (lack)"
虔,"act with reverence","虍 (tiger) + 文 (script)"
畔,"boundary path dividing fields","田 (field) + 半 (half)"
琐,"trifling","王 (king) + 贝 (shell)"
碟,"small dish","石 (stone) + 世 (generation) + 木 (tree)"
涩,"astringent","氵 (water) + 刀 (knife) + 丶 (dot) + 止 (stop)"
胧,"condition or appearance of moon","月 (moon) + 龙 (dragon)"
嘟,"sound of horn tooting","口 (mouth) + 土 (earth) + 丿 (slash) + 日 (sun) + 阝 (mound)"
蹦,"hop","足 (foot) + 山 (mountain) + 月 (moon)"
冢,"burial mound","冖 (over) + 豕 (pig) + 丶 (dot)"
浏,"clear","氵 (water) + 文 (script) + 刂 (knife)"
裔,"progeny","衣 (clothes) + 冂 (down box) + 八 (eight) + 口 (mouth)"
襟,"lapel","衤 (clothes) + 木 (tree) + 示 (showing)"
叨,"talkative","口 (mouth) + 刀 (knife)"
诀,"take leave of","讠 (speech) + 大 (big) + 乛 (second)"
旭,"rising sun","九 (nine) + 日 (sun)"
虾,"shrimp","虫 (insect) + 一 (one) + 卜 (divination)"
簿,"register","竹 (bamboo) + 氵 (water) + 甫 (begin) + 寸 (inch)"
啤,"beer","口 (mouth) + 卑 (humble)"
擒,"catch","扌 (hand) + 人 (man) + 亠 (lid) + 凵 (open box) + 乂 + 禸 (track)"
枣,"date tree","木 (tree) + 冂 (down box) + 冫 (ice)"
嘎,"sound of laughter","口 (mouth) + 一 (one) + 自 (self) + 戈 (halberd)"
苑,"pasture","艹 (grass) + 夕 (evening) + 㔾"
牟,"make","厶 (private) + 牛 (cow)"
呕,"vomit","口 (mouth) + 匚 (open box) + 乂"
骆,"a white horse with black mane","马 (horse) + 夂 (go) + 口 (mouth)"
凸,"protrude","凸 (protrude)"
熄,"put out","火 (fire) + 自 (self) + 心 (heart)"
兀,"to cut off the feet","一 (one) + 儿 (legs)"
喔,"descriptive of crying or of crowing","口 (mouth) + 尸 (corpse) + 至 (arrive)"
裳,"clothes","小 (small) + 冂 (down box) + 囗 (enclosure) + 衣 (clothes)"
凹,"concave","凹 (concave)"
赎,"buy","贝 (shell) + 十 (ten) + 乛 (second) + 大 (big) + 冫 (ice)"
屯,"village","屯 (village)"
膛,"chest","月 (moon) + 小 (small) + 冂 (down box) + 囗 (enclosure) + 土 (earth)"
浇,"spray","氵 (water) + 丈 (unit of length equal 3.3 meters) + 一 (one) + 儿 (legs)"
灼,"burn","火 (fire) + 勹 (wrap) + 丶 (dot)"
裘,"fur garments","求 (seek) + 衣 (clothes)"
砰,"sound of crashing stones","石 (stone) + 干 (dry) + 丷 (eight)"
棘,"jujube tree","朿"
橡,"chestnut oak","木 (tree) + 象 (elephant)"
碱,"alkaline","石 (stone) + 丿 (slash) + 戈 (halberd) + 一 (one) + 口 (mouth)"
聋,"deaf","龙 (dragon) + 耳 (ear)"
姥,"maternal grandmother","女 (woman) + 老 (old)"
瑜,"flawless gem or jewel","王 (king) + 人 (man) + 一 (one) + 舟 (boat) + 巜 (river)"
毋,"do not","毋 (do not)"
娅,"mutual term of address used by sons-in-law","女 (woman) + 亚 (Asia)"
沮,"stop","氵 (water) + 且 (moreover)"
萌,"bud","艹 (grass) + 日 (sun) + 月 (moon)"
俏,"like","亻 (man) + 小 (small) + 月 (moon)"
黯,"dark","黑 (black) + 音 (sound)"
撇,"discard","扌 (hand) + 攵 (rap)"
粟,"unhusked millet","覀 (west) + 米 (rice)"
粪,"manure","米 (rice) + 廿 + 廾 (two hands)"
尹,"govern","彐 (pigs head) + 丿 (slash)"
苟,"careless","艹 (grass) + 勹 (wrap) + 口 (mouth)"
癫,"crazy","疒 (sickness) + 十 (ten) + 貝 (shell) + 一 (one) + 页 (leaf)"
蚂,"ant","虫 (insect) + 马 (horse)"
禹,"legendary hsia dynasty founder","丿 (slash) + 虫 (insect)"
廖,"surname","广 (dotted cliff) + 羽 (feather) + 人 (man) + 彡 (bristle)"
俭,"temperate","亻 (man) + 人 (man) + 一 (one) + 小 (small)"
帖,"invitation card","巾 (turban) + 卜 (divination) + 口 (mouth)"
煎,"fry in fat or oil","止 (stop) + 月 (moon) + 刂 (knife) + 灬 (fire)"
缕,"thread","纟 (silk) + 米 (rice) + 女 (woman)"
窦,"surname","穴 (cave) + 十 (ten) + 乛 (second) + 大 (big) + 冫 (ice)"
簇,"swarm","竹 (bamboo) + 方 (square) + 人 (man) + 矢 (arrow)"
棱,"squared timber","木 (tree) + 土 (earth) + 儿 (legs) + 夂 (go)"
叩,"knock","口 (mouth) + 卩 (seal)"
呐,"raise voice","口 (mouth) + 冂 (down box) + 人 (man)"
瑶,"precious jade","王 (king) + 爪 (claw) + 缶 (jar)"
墅,"villa","里 (village) + 龴 + 一 (one) + 亅 (hook) + 土 (earth)"
莺,"oriole","艹 (grass) + 鸟 (bird)"
烫,"scald","氵 (water) + 火 (fire)"
蛙,"frog","虫 (insect) + 土 (earth)"
歹,"bad","歹 (death)"
伶,"lonely","亻 (man) + 人 (man) + 一 (one) + 龴"
葱,"scallions","艹 (grass) + 勿 (must not) + 丶 (dot) + 心 (heart)"
哮,"cough","口 (mouth) + 土 (earth) + 丿 (slash) + 子 (child)"
眩,"to confuse","目 (eye) + 玄 (profound)"
坤,"earth","土 (earth) + 曰 (say) + 丨 (line)"
廓,"broad","广 (dotted cliff) + 亠 (lid) + 口 (mouth) + 子 (child) + 阝 (mound)"
讳,"conceal","讠 (speech) + 韦 (tanned leather)"
啼,"weep","口 (mouth) + 亠 (lid) + 八 (eight) + 巾 (turban)"
乍,"first time","乍 (first time)"
瓣,"petal","辛 (bitter) + 瓜 (melon)"
矫,"correct","矢 (arrow) + 丿 (slash) + 大 (big) + 儿 (legs)"
跋,"go by foot","足 (foot) + 犬 (dog) + 丿 (slash)"
枉,"useless","木 (tree) + 王 (king)"
梗,"stem of flower","木 (tree) + 更 (more)"
厕,"mingle with","厂 (cliff) + 贝 (shell) + 刂 (knife)"
琢,"polish jade","王 (king) + 豕 (pig)"
讥,"ridicule","讠 (speech) + 几 (table)"
釉,"glaze","爫 (claw) + 木 (tree) + 曰 (say) + 丨 (line)"
窟,"hole","穴 (cave) + 尸 (corpse) + 屮 (sprout) + 凵 (open box)"
敛,"draw back","人 (man) + 一 (one) + 小 (small) + 攵 (rap)"
轼,"horizontal wooden bar in front","车 (cart) + 弋 (shoot) + 工 (work)"
庐,"hut","广 (dotted cliff) + 丶 (dot) + 尸 (corpse)"
胚,"embryo","月 (moon) + 不 (no) + 一 (one)"
呻,"groan","口 (mouth) + 曰 (say) + 丨 (line)"
绰,"graceful","纟 (silk) + 卜 (divination) + 日 (sun) + 十 (ten)"
扼,"grasp","扌 (hand) + 厂 (cliff) + 㔾"
懿,"virtuous","土 (earth) + 豆 (bean) + 冫 (ice) + 欠 (lack) + 心 (heart)"
炯,"bright","火 (fire) + 冂 (down box) + 囗 (enclosure)"
竿,"bamboo pole","竹 (bamboo) + 干 (dry)"
慷,"ardent","忄 (heart) + 广 (dotted cliff) + 隶 (slave)"
虞,"concerned about","虍 (tiger) + 口 (mouth) + 大 (big) + 乛 (second)"
锤,"balance weight on scale","钅 + 垂 (let down)"
栓,"wooden peg","木 (tree) + 入 (enter) + 王 (king)"
桨,"oar","丨 (line) + 攵 (rap) + 木 (tree)"
蚊,"mosquito","虫 (insect) + 文 (script)"
磅,"pound","石 (stone) + 亠 (lid) + 八 (eight) + 方 (square)"
孽,"evil","艹 (grass) + 子 (child)"
惭,"ashamed","忄 (heart) + 车 (cart) + 斤 (axe)"
戳,"prick","羽 (feather) + 隹 (short tailed bird) + 戈 (halberd)"
禀,"report to","亠 (lid) + 囗 (enclosure) + 口 (mouth) + 示 (showing)"
鄂,"Hubei province","口 (mouth) + 一 (one) + 丂 + 阝 (mound)"
馈,"offer food superior","饣 (eat) + 口 (mouth) + 丨 (line) + 一 (one) + 贝 (shell)"
垣,"low wall","土 (earth) + 二 (two) + 日 (sun)"
溅,"sprinkle","氵 (water) + 贝 (shell) + 一 (one) + 戈 (halberd)"
咚,"onomatopoetic","口 (mouth) + 夂 (go) + 冫 (ice)"
钙,"calcium","钅 + 丐 (beggar)"
礁,"reef","石 (stone) + 隹 (short tailed bird) + 灬 (fire)"
彰,"clear","立 (stand) + 日 (sun) + 十 (ten) + 彡 (bristle)"
豁,"open up","宀 (roof) + 彡 (bristle) + 丨 (line) + 口 (mouth) + 谷 (valley)"
眯,"be blinded","目 (eye) + 米 (rice)"
磷,"phosphorus","石 (stone) + 米 (rice) + 舛 (oppose)"
雯,"cloud patterns","雨 (rain) + 文 (script)"
墟,"high mound","土 (earth) + 虍 (tiger) + 业 (profession)"
迂,"doctrinaire","辶 (walk) + 二 (two) + 亅 (hook)"
瞻,"look","目 (eye) + 厂 (cliff) + 儿 (legs) + 言 (speech)"
颅,"skull","卜 (divination) + 尸 (corpse) + 页 (leaf)"
琉,"sparkling stone","王 (king) + 亠 (lid) + 厶 (private) + 川 (river)"
悼,"grieve","忄 (heart) + 卜 (divination) + 日 (sun) + 十 (ten)"
蝴,"butterfly","虫 (insect) + 十 (ten) + 口 (mouth) + 月 (moon)"
拣,"choose","扌 (hand) + 柬"
渺,"endlessly long","氵 (water) + 目 (eye) + 小 (small) + 丿 (slash)"
眷,"take interest in","龹 + 目 (eye)"
悯,"pity","忄 (heart) + 门 (gate) + 文 (script)"
汰,"excessive","氵 (water) + 大 (big) + 丶 (dot)"
慑,"afraid","忄 (heart) + 耳 (ear) + 又 (again)"
婶,"wife of fathers younger brother","女 (woman) + 宀 (roof) + 曰 (say) + 丨 (line)"
斐,"graceful","非 (wrong) + 文 (script)"
嘘,"exhale","口 (mouth) + 虍 (tiger) + 业 (profession)"
镶,"insert","钅 + 衣 (clothes)"
炕,"the brick-bed in northern China","火 (fire) + 亠 (lid) + 几 (table)"
宦,"officialdom","宀 (roof) + 臣 (minister)"
趴,"lying prone","足 (foot) + 八 (eight)"
绷,"bind","纟 (silk) + 月 (moon)"
窘,"embarrassed","穴 (cave) + 彐 (pigs head) + 丿 (slash) + 口 (mouth)"
襄,"aid","衣 (clothes)"
珀,"amber","王 (king) + 白 (white)"
嚣,"be noisy","吕 (surname) + 页 (leaf)"
拚,"risk","扌 (hand) + 厶 (private) + 廾 (two hands)"
酌,"serve wine","酉 (alcohol) + 勹 (wrap) + 丶 (dot)"
浊,"muddy","氵 (water) + 虫 (insect)"
毓,"give birth to","丿 (slash) + 一 (one) + 母 (mother) + 亠 (lid) + 厶 (private) + 川 (river)"
撼,"move","扌 (hand) + 丿 (slash) + 戈 (halberd) + 一 (one) + 口 (mouth) + 心 (heart)"
嗜,"be fond of","口 (mouth) + 老 (old) + 日 (sun)"
扛,"carry on shoulders","扌 (hand) + 工 (work)"
峭,"steep","山 (mountain) + 小 (small) + 月 (moon)"
磕,"hit","石 (stone) + 土 (earth) + 厶 (private) + 皿 (dish)"
翘,"turn up","丈 (unit of length equal 3.3 meters) + 一 (one) + 儿 (legs) + 羽 (feather)"
槽,"trough","木 (tree) + 一 (one) + 曲 (crooked) + 曰 (say)"
淌,"trickle","氵 (water) + 小 (small) + 冂 (down box) + 囗 (enclosure)"
栅,"fence","木 (tree) + 册 (book)"
颓,"ruined","禾 (grain) + 几 (table) + 页 (leaf)"
熏,"smoke","灬 (fire)"
瑛,"luster of gem","王 (king) + 艹 (grass) + 冂 (down box) + 大 (big)"
颐,"cheeks","臣 (minister) + 页 (leaf)"
忖,"guess","忄 (heart) + 寸 (inch)"
